record_id,source_id,organization,domain,decision,local_actor,local_right,required_authority,authority_pattern,threshold_or_condition,redelegation,finality,source_locator,support_summary,verification_status
CIV-001,SRC-001,Federal Acquisition Regulation,civilian procurement,bind the Government by contract,contracting officer,"enter, administer, terminate contracts and make related determinations within delegated authority",written contracting authority sufficient for the action,bounded_delegation,binding authority exists only within the written delegation,not_stated,final,FAR 1.602-1(a),Contracting officers may bind the Government only within the authority delegated to them in writing.,verified_primary
CIV-002,SRC-001,Federal Acquisition Regulation,civilian procurement,enter a contract after required clearances and approvals,contracting officer,prepare and execute a contract within delegated contracting authority,contracting officer plus all policy-required clearances and approvals,approval_prerequisite,all applicable clearances and approvals must be satisfied before contract entry,not_stated,final,FAR 1.602-1(b),"A contracting officer may not enter a contract until applicable procedures, clearances, and approvals are satisfied.",verified_primary
CIV-003,SRC-002,Federal Acquisition Regulation,civilian procurement,perform technical monitoring or administration as a COR,contracting officer's representative,perform delegated technical monitoring and administrative duties,written COR designation limited to specified functions,bounded_delegation,COR authority is limited to the written designation,not_allowed,local,FAR 1.602-2(d),A COR receives only the technical or administrative functions specified in a written designation.,verified_primary
CIV-004,SRC-002,Federal Acquisition Regulation,civilian procurement,"change contract price, quality, quantity, delivery, or other terms",contracting officer's representative,monitor contract performance and perform designated technical duties,contracting officer,reserved_role,COR cannot make commitments or changes affecting contract terms,not_allowed,final,FAR 1.602-2(d)(5)-(7),The COR may assist administration but lacks authority to alter contract terms or commit the Government.,verified_primary
CIV-005,SRC-002,Federal Acquisition Regulation,civilian procurement,redelegate COR authority,contracting officer's representative,exercise the assigned COR functions,no further redelegation permitted,nonredelegable_grant,COR designation must state that the authority is not redelegable,not_allowed,local,FAR 1.602-2(d)(7)(iv),The COR's written designation must state that the delegated authority cannot be redelegated.,verified_primary
CIV-006,SRC-003,Federal Acquisition Regulation,civilian procurement,approve a request to obligate the Government above 90000 dollars under FAR Part 50,agency official below secretarial level,exercise delegated extraordinary contractual authority within permitted limits,secretarial level or above,threshold_escalation,amount exceeds 90000 dollars,conditional,final,FAR 50.102-1(b),Approval above the stated monetary threshold cannot be delegated below secretarial level.,verified_primary
CIV-007,SRC-003,Federal Acquisition Regulation,civilian procurement,approve an amendment without consideration that increases contract price or unit price,delegated agency official,exercise ordinary delegated extraordinary contractual authority,secretarial level unless a qualifying extraordinary exception is established,reserved_role,price-increasing amendment without consideration,conditional,final,FAR 50.102-1(c),This price-increasing amendment authority is generally reserved at secretarial level regardless of dollar amount.,verified_primary
CIV-008,SRC-003,Federal Acquisition Regulation,civilian procurement,indemnify against unusually hazardous or nuclear risks,delegated agency official,exercise other delegated authorities under FAR Part 50,Secretary or Administrator of the agency or other specifically named top official,reserved_role,unusually hazardous or nuclear risk indemnification,not_allowed,final,FAR 50.102-1(d),Indemnification for unusually hazardous or nuclear risks is reserved to specified top agency officials.,verified_primary
CIV-009,SRC-004,U.S. Department of Education,civilian procurement,recommend acceptance or rejection of contract deliverables,contracting officer's representative,inspect deliverables and recommend acceptance or rejection,contracting officer for binding contractual action,proposal_decision_split,COR recommendation does not itself bind the Government,not_stated,intermediate,EDAR 3452.201-70(a)-(b),"The COR inspects and recommends, while commitments and contract-changing decisions remain with the contracting officer.",verified_primary
CIV-010,SRC-004,U.S. Department of Education,civilian procurement,"authorize a change affecting contract price, terms, or conditions",contracting officer's representative,technical liaison and inspection,contracting officer written authorization,reserved_role,"any change affecting price, terms, or conditions",not_stated,final,EDAR 3452.201-70(b),A COR cannot obligate the Government or authorize contractual changes; written contracting-officer authorization is required.,verified_primary
CIV-011,SRC-005,U.S. Office of Personnel Management,federal civilian human resources,issue a notice of proposed adverse action,proposing official,issue the proposal notice under delegated authority,proposing official,proposal_decision_split,proposal stage only,not_stated,intermediate,OPM Employee Relations glossary — Proposing Official,OPM distinguishes the official empowered to propose an adverse action from the official who makes the final decision.,verified_primary
CIV-012,SRC-005,U.S. Office of Personnel Management,federal civilian human resources,make the final decision on a proposed adverse action,proposing official or other management participants,develop or propose the adverse action,designated deciding official,reserved_role,final adverse-action decision,not_stated,final,OPM Employee Relations glossary — Deciding Official,The final decision is assigned to a designated deciding official rather than automatically to the proposing official.,verified_primary
CIV-013,SRC-006,U.S. Department of Justice,federal civilian human resources,approve a cash award up to 7500 dollars for covered non-SES employees,component head,approve covered cash awards within the stated amount,component head or valid redelegate,threshold_escalation,award does not exceed 7500 dollars,allowed,final,DOJ HRO 1200.1 Appendix 2 — Awards,"DOJ assigns lower-value cash-award approval to component heads, subject to the stated threshold.",verified_primary
CIV-014,SRC-006,U.S. Department of Justice,federal civilian human resources,approve a cash award above 7500 dollars and up to 10000 dollars,component head,approve lower-value covered awards,Attorney General,threshold_escalation,award exceeds 7500 dollars but does not exceed 10000 dollars,allowed,final,DOJ HRO 1200.1 Appendix 2 — Awards,DOJ's published delegation table moves award approval to the Attorney General above the component-head threshold.,verified_primary
CIV-015,SRC-006,U.S. Department of Justice,federal civilian human resources,approve a cash award above 10000 dollars and up to 25000 dollars,Department of Justice management,approve awards within DOJ-retained thresholds,U.S. Office of Personnel Management,threshold_escalation,award exceeds 10000 dollars and is within the published upper band,not_allowed,final,DOJ HRO 1200.1 Appendix 2 — Awards,The DOJ table identifies OPM as retaining approval authority for the higher published cash-award band.,verified_primary
CIV-016,SRC-006,U.S. Department of Justice,federal civilian human resources,approve an SES performance appraisal for a non-key executive,component head,approve covered SES performance appraisals,component head,bounded_delegation,employee is not a key career executive or OIG SES employee,not_allowed,final,DOJ HRO 1200.1 Appendix 2 — Senior Executive Service,DOJ delegates ordinary SES performance-appraisal approval to component heads for the covered population.,verified_primary
CIV-017,SRC-006,U.S. Department of Justice,federal civilian human resources,approve an SES performance appraisal for a key career executive,component head,approve ordinary covered SES appraisals,Deputy Attorney General,reserved_role,employee occupies a designated key career executive position,not_allowed,final,DOJ HRO 1200.1 Appendix 2 — Senior Executive Service,DOJ retains appraisal approval for designated key career executives at the Deputy Attorney General level.,verified_primary
CIV-018,SRC-006,U.S. Department of Justice,federal civilian human resources,issue a Department classification appeal decision,human-resources classification staff,develop and review classification matters,"Director, Human Resources, Justice Management Division",nonredelegable_grant,Department classification appeal decision,not_allowed,final,DOJ HRO 1200.1 Appendix 2 — Classification,The published table assigns Department classification appeal decisions to the HR Director and marks the authority nonredelegable.,verified_primary
CIV-019,SRC-007,U.S. Department of Justice,professional responsibility,make the Department's final determination on attorney professional misconduct,Office of Professional Responsibility,investigate and determine whether evidence supports a misconduct finding,Professional Misconduct Review Unit,proposal_decision_split,OPR has transmitted a misconduct report for PMRU review,not_stated,final,DOJ OPR FAQ — misconduct review process,"OPR investigates, while PMRU reviews the misconduct finding and makes the Department's final determination.",verified_primary
CIV-020,SRC-007,U.S. Department of Justice,professional responsibility,"impose a reprimand, suspension, or removal following supported attorney misconduct",Office of Professional Responsibility,investigate and report supported misconduct,Professional Misconduct Review Unit,reserved_role,PMRU determines the misconduct finding is supported,not_stated,final,DOJ OPR FAQ — PMRU disciplinary authority,"After review, PMRU—not the investigating office—may impose the listed disciplinary outcomes.",verified_primary
CIV-021,SRC-008,U.S. Equal Employment Opportunity Commission,civil enforcement litigation,decide whether to settle an EEOC lawsuit and on what terms,litigation counsel,evaluate and negotiate settlement possibilities,General Counsel unless validly delegated,reserved_role,EEOC lawsuit settlement,allowed,final,EEOC Settlement Procedures B.1,"EEOC assigns litigation settlement authority to the General Counsel, with the ability to delegate defined cases or classes.",verified_primary
